,AD,Full-flowering date (DOY),Full-flowering date,Source code,Data type code,Reference Name,trendline_degree1,trendline_degree2,trendline_degree3,trendline_degree4
844,1645,99,409,4,2,HIRAMATSU-TOKIMORIKI,104.31335938517242,105.4537677141795,106.35460019982541,106.20279520038815
845,1646,87,328,4,2,SHOHO-2-NEN-IKO-NIKKI,104.31184581626697,105.4474098062849,106.3518587783528,106.21271727505513
846,1647,112,422,3,2,KAKUMEIKI,104.31033224736152,105.44102072716183,106.34904795628721,106.22259245979245
848,1649,104,414,4,2,KAKUMEIKI,104.3073051095506,105.42814905523042,106.34321725108306,106.24219827475389
849,1650,102,412,3,2,KAKUMEIKI,104.30579154064515,105.42166646242205,106.3401969382975,106.25192695278048
850,1651,107,417,1,2,ZOKU-SHIGUSHO,104.3042779717397,105.41515269838526,106.33710636562488,106.2616048364842
851,1652,107,416,3,2,KAKUMEIKI,104.30276440283424,105.40860776312002,106.33394531824159,106.27123093993072
852,1653,112,422,3,2,KAKUMEIKI,104.30125083392878,105.40203165662633,106.33071358132413,106.28080427325364
853,1654,104,414,3,2,KAKUMEIKI,104.29973726502332,105.39542437890422,106.32741094004908,106.29032384265173
854,1655,104,414,3,2,ISHIKAWA-NIKKI,104.29822369611787,105.38878592995367,106.32403717959278,106.29978865039033
855,1656,103,412,3,1,ISHIKAWA-NIKKI,104.29671012721242,105.38211630977469,106.32059208513168,106.3091976948005
857,1658,108,418,4,2,KAKUMEIKI,104.2936829894015,105.3686835557314,106.3134870349012,106.32784446729175
859,1660,111,420,3,2,KAKUMEIKI,104.2906558515906,105.35512611677434,106.30609407076928,106.34625606809601
860,1661,93,403,7,4,BURUI-GENYO-WAKASHU,104.28914228268515,105.34830064045317,106.30228908393143,106.35537113314689
861,1662,110,420,4,1,KAKUMEIKI,104.28762871377968,105.34144399290356,106.2984114741476,106.3644243422454
862,1663,105,415,3,2,KAKUMEIKI,104.28611514487423,105.33455617412551,106.2944610265943,106.37341466618449
863,1664,105,414,3,2,KAKUMEIKI,104.28460157596878,105.32763718411901,106.290437526448,106.38234107182569
864,1665,112,422,3,2,KAKUMEIKI,104.28308800706333,105.3206870228841,106.28634075888506,106.39120252209415
865,1666,108,418,4,2,KIMITOSHI-KYOKI,104.28157443815786,105.31370569042073,106.28217050908204,106.39999797598199
866,1667,112,422,7,2,HAMURO-YORINARI-KI,104.28006086925241,105.30669318672892,106.27792656221541,106.40872638854904
867,1668,110,419,3,2,GYOJO-HOSSINNO-NIKKI [TOYOKUNI],104.27854730034696,105.2996495118087,106.27360870346163,106.41738671091883
868,1669,104,414,7,2,HAMURO-YORINARI-KI,104.2770337314415,105.29257466566001,106.26921671799707,106.42597789028292
869,1670,102,412,3,1,GYOJO-HOSSINNO-NIKKI,104.27552016253605,105.2854686482829,106.2647503909983,106.43449886989589
870,1671,116,426,3,2,GYOJO-HOSSINNO-NIKKI [KINDAI],104.27400659363059,105.27833145967736,106.26020950764172,106.44294858908239
871,1672,112,421,3,1,GYOJO-HOSSINNO-NIKKI [SEIRYODEN],104.27249302472514,105.27116309984336,106.25559385310389,106.45132598323113
872,1673,105,415,6,1,MUJOHOINDONO-GONIKKI,104.27097945581968,105.26396356878094,106.25090321256111,106.4596299837977
873,1674,115,425,3,2,GYOJO-HOSSINNO-NIKKI,104.26946588691423,105.25673286649007,106.24613737119,106.46785951830151
